Recipe,UnlockType,TipoRequisito,KeyRequerida
LordOfMoria_LordOfMoriaSet_GlovesArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_HelmetArmor
LordOfMoria_LordOfMoriaSet_GlovesArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_GlovesArmor
LordOfMoria_LordOfMoriaSet_GlovesArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_TorsoArmor
LordOfMoria_LordOfMoriaSet_GlovesArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_BootsArmor
LordOfMoria_LordOfMoriaSet_BootsArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_HelmetArmor
LordOfMoria_LordOfMoriaSet_BootsArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_GlovesArmor
LordOfMoria_LordOfMoriaSet_BootsArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_TorsoArmor
LordOfMoria_LordOfMoriaSet_BootsArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Armor.Mithril_Set_BootsArmor
Origin_Set_BlueMountains_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.Hide
Origin_Set_CoastalMountains_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.Hide
Origin_Set_GlitteringCaves_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.Hide
Origin_Set_IronHills_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.Hide
Origin_Set_LonelyMountain_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.Hide
Origin_Set_RedMountains_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.Hide
BeornPack_BeornSet_HelmetArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Beorn_Wall_4x3_A
BeornPack_BeornSet_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Beorn_Wall_4x3_A
BeornPack_BeornSet_GlovesArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Beorn_Wall_4x3_A
BeornPack_BeornSet_BootsArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Beorn_Wall_4x3_A
KrampusSet_HelmetArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,HollyDecoration_A
KrampusSet_TorsoArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,HollyDecoration_A
KrampusSet_GlovesArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,HollyDecoration_A
KrampusSet_BootsArmor,EMorRecipeUnlockType::DiscoverDependencies,Construcción,HollyDecoration_A
Restoration_Hammer_Tobi,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.MithrilIngot
Dain_Warhammer,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Crafting_TelcharHammer
Thrain_Warhammer,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.CrimsonIngot
Thrain_Warhammer,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Crafting_TelcharHammer
Dain_Battleaxe,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.CrimsonIngot
Dain_Battleaxe,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Crafting_TelcharHammer
CrimsonIngot,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.StarAlloyIngot
Mereak_Battleaxe,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Obsidian
BearGuild_Gloves_T4,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.GunMetalIngot
BearGuild_Gloves_T5,EMorRecipeUnlockType::DiscoverDependencies,Construcción,CraftingStation_NogrodForge
BearGuild_Gloves_T6,EMorRecipeUnlockType::DiscoverDependencies,Construcción,CraftingStation_MithrilForge
BearGuild_Shield,EMorRecipeUnlockType::DiscoverDependencies,Construcción,CraftingStation_FloodedForge
FungalFoliageCutting_A,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.FungalTreeCutting
FungalFoliageCutting_B,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.FungalTreeCutting
EreborIngot,EMorRecipeUnlockType::DiscoverDependencies,Item,Ore.Gold
Balin_Battleaxe,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.Ironwood
Balin_Sword,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.Ironwood
Dwalin_Battleaxe,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.Ironwood
Fili_Hammer,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.Ironwood
Hunter_Spear,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.MithrilIngot
Hunter_Spear_Rune,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.MithrilIngot
Thorin_Sword,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.EreborIngot
Thorin_Sword,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Crafting_TelcharHammer
Thorin_WarAxe,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.GunMetalIngot
Mithril_Spear,EMorRecipeUnlockType::DiscoverDependencies,Item,Weapon.WarAxe_1h_t5
DwarvenTraditions_RamsHornBourbon_Small,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Brewery_Upgrade
DwarvenTraditions_RamsHornBourbon_Medium,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Brewery_Upgrade
DwarvenTraditions_RamsHornBourbon_Massive,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Brewery_Upgrade
DwarvenTraditions_AnvilCocoa_Small,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.Tobi_Cacao
DwarvenTraditions_AnvilCocoa_Medium,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.Tobi_Cacao
DwarvenTraditions_AnvilCocoa_Massive,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.Tobi_Cacao
DwarvenTraditions_BrewedNiphredilTea_Small,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.Niphredil
DwarvenTraditions_BrewedNiphredilTea_Medium,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.Niphredil
DwarvenTraditions_BrewedNiphredilTea_Massive,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.Niphredil
DwarvenTraditions_BrewedElanorTea_Small,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.Elanor
DwarvenTraditions_BrewedElanorTea_Medium,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.Elanor
DwarvenTraditions_BrewedElanorTea_Massive,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.Elanor
DwarvenTraditions_EmberAle_Small,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Brewery_Upgrade
DwarvenTraditions_EmberAle_Medium,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Brewery_Upgrade
DwarvenTraditions_EmberAle_Massive,EMorRecipeUnlockType::DiscoverDependencies,Construcción,Brewery_Upgrade
RedMountains_MinerSet_GlovesArmor,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.AncientWood
Ashen_Weapon,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.AshenIngot
Ashen_Weapon,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Crafting_TelcharHammer
AshenIngot,EMorRecipeUnlockType::DiscoverDependencies,Item,Item.GunMetalIngot
JuboBrew_SoftWheatenTea_Small,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.HealingFlower
JuboBrew_SoftWheatenTea_Medium,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.HealingFlower
JuboBrew_SoftWheatenTea_Massive,EMorRecipeUnlockType::DiscoverDependencies,Item,Consumable.HealingFlower
Crafting_TelcharHammer,EMorRecipeUnlockType::DiscoverDependencies,Construcción,100BuildingsPack_TelcharForge_A
Dwarven_Maul,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Crafting_TelcharHammer
Ashen_Hammer,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Crafting_TelcharHammer
Glamdring_Sword,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Crafting_TelcharHammer
Anduril_Sword,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Crafting_TelcharHammer
Orcrist_Sword,EMorRecipeUnlockType::DiscoverDependencies,Item,Tool.Crafting_TelcharHammer
AdventurersPack_Elven,EMorRecipeUnlockType::DiscoverDependencies,Construcción,CraftingStation_FabricStation_Upgrade
IronHillsSet_HelmetArmor,EMorRecipeUnlockType::CollectFragments,Fragment,IronHillsHelmet_Fragment
EregionSet_HelmetArmor,EMorRecipeUnlockType::CollectFragments,Construcción,EregionSet_HelmetFragment
